period,category,feature,irl_importance,irl_importance_abs,rf_importance
0-3m,action,レビュー規模（行数）,-0.0005027619190514088,0.0005027619190514088,0.0814375360019458
0-3m,action,協力度,0.015556387603282928,0.015556387603282928,0.0
0-3m,action,強度（ファイル数）,0.010058262385427952,0.010058262385427952,0.0671106486290728
0-3m,action,応答速度,-0.0027364406269043684,0.0027364406269043684,0.0710094573878202
0-3m,state,コード品質スコア,-0.008888696320354939,0.008888696320354939,0.0700797202094484
0-3m,state,レビュー負荷,0.010485123842954636,0.010485123842954636,0.0792572558464416
0-3m,state,協力スコア,0.00467215059325099,0.00467215059325099,0.1375352236274144
0-3m,state,平均活動間隔,-0.016489675268530846,0.016489675268530846,0.0787715067064347
0-3m,state,最近の受諾率,0.0012225034879520535,0.0012225034879520535,0.1534381922422366
0-3m,state,最近の活動頻度,0.017440730705857277,0.017440730705857277,0.0908005544503091
0-3m,state,活動トレンド,-0.004611702635884285,0.004611702635884285,0.0639240445896084
0-3m,state,経験日数,-0.007638487033545971,0.007638487033545971,0.0726536373092378
0-3m,state,総コミット数,0.01254141703248024,0.01254141703248024,0.017673175092884
0-3m,state,総レビュー数,0.03164416924118996,0.03164416924118996,0.0163090479071455
3-6m,action,レビュー規模（行数）,-0.0002493284991942346,0.0002493284991942346,0.0693555762692477
3-6m,action,協力度,0.009138502180576324,0.009138502180576324,0.0
3-6m,action,強度（ファイル数）,0.0034973567817360163,0.0034973567817360163,0.0766862631872721
3-6m,action,応答速度,0.003467243630439043,0.003467243630439043,0.0550707706442302
3-6m,state,コード品質スコア,-0.01060895249247551,0.01060895249247551,0.0762612815328628
3-6m,state,レビュー負荷,-0.0007996928179636598,0.0007996928179636598,0.0548553682798043
3-6m,state,協力スコア,0.0029649296775460243,0.0029649296775460243,0.1612677966733749
3-6m,state,平均活動間隔,-0.01049747597426176,0.01049747597426176,0.0870267137119382
3-6m,state,最近の受諾率,-0.0032424607779830694,0.0032424607779830694,0.2043871614183375
3-6m,state,最近の活動頻度,0.01211638655513525,0.01211638655513525,0.0501608378360784
3-6m,state,活動トレンド,-0.009291000664234161,0.009291000664234161,0.0785957190915939
3-6m,state,経験日数,-0.0005079043912701309,0.0005079043912701309,0.0591157324488242
3-6m,state,総コミット数,0.008378246799111366,0.008378246799111366,0.0143488156434015
3-6m,state,総レビュー数,0.017580179497599602,0.017580179497599602,0.0128679632630337
6-9m,action,レビュー規模（行数）,-0.006485287100076675,0.006485287100076675,0.063263534208736
6-9m,action,協力度,0.013106901198625565,0.013106901198625565,0.0
6-9m,action,強度（ファイル数）,0.012611446902155876,0.012611446902155876,0.0767634010231239
6-9m,action,応答速度,0.004843170754611492,0.004843170754611492,0.0476779681054749
6-9m,state,コード品質スコア,-0.006670588627457619,0.006670588627457619,0.0889241743918834
6-9m,state,レビュー負荷,-0.002183755161240697,0.002183755161240697,0.0580695445642099
6-9m,state,協力スコア,0.005983549170196056,0.005983549170196056,0.1593638404211427
6-9m,state,平均活動間隔,-0.006731395144015551,0.006731395144015551,0.0862728903730179
6-9m,state,最近の受諾率,-0.0006912879180163145,0.0006912879180163145,0.2081322216602288
6-9m,state,最近の活動頻度,0.0019444568315520883,0.0019444568315520883,0.0470779476584253
6-9m,state,活動トレンド,-0.005052424035966396,0.005052424035966396,0.0739051575723484
6-9m,state,経験日数,-0.000494251842610538,0.000494251842610538,0.0628882975842804
6-9m,state,総コミット数,0.007123448885977268,0.007123448885977268,0.01590438826681
6-9m,state,総レビュー数,0.01023827027529478,0.01023827027529478,0.0117566341703179
9-12m,action,レビュー規模（行数）,-0.006364203058183193,0.006364203058183193,0.1053262668265074
9-12m,action,協力度,0.014604250900447369,0.014604250900447369,0.0
9-12m,action,強度（ファイル数）,0.007017143070697784,0.007017143070697784,0.0751342604790784
9-12m,action,応答速度,0.00518639525398612,0.00518639525398612,0.0684525091238098
9-12m,state,コード品質スコア,-0.005223008804023266,0.005223008804023266,0.0746543889659803
9-12m,state,レビュー負荷,-0.0032845991663634777,0.0032845991663634777,0.0818287047995079
9-12m,state,協力スコア,0.0028380979783833027,0.0028380979783833027,0.1430606123809318
9-12m,state,平均活動間隔,-0.00900527834892273,0.00900527834892273,0.0844850383259508
9-12m,state,最近の受諾率,0.0022592293098568916,0.0022592293098568916,0.1708068835472116
9-12m,state,最近の活動頻度,-0.0009331266628578305,0.0009331266628578305,0.04964683288255
9-12m,state,活動トレンド,-0.006720174569636583,0.006720174569636583,0.0758271320848344
9-12m,state,経験日数,-0.0018814402865245938,0.0018814402865245938,0.0611545604560429
9-12m,state,総コミット数,0.003769428702071309,0.003769428702071309,0.0046361075018654
9-12m,state,総レビュー数,0.006589464843273163,0.006589464843273163,0.0049867026257287
