,0-3m,3-6m,6-9m,9-12m
0-3m,0.5609756097560976,0.5063291139240507,0.4722222222222222,0.5061728395061729
3-6m,,0.5119047619047619,0.4634146341463415,0.4838709677419355
6-9m,,,0.4588235294117647,0.5
9-12m,,,,0.5212765957446809
