Platform,Total Reviews,Positive Rate,Negative Rate,N Projects,N Reviewers,Cross-Project Rate,Avg Project Count,Avg Past Reviews (30d),Avg Past Reviews (90d),Avg Path Jaccard
OpenStack,119010,0.6174271069658012,0.3825728930341988,48,1855,0.8564658432064532,9.724754222334258,,,
Qt,3121,0.43768023069529,0.5623197693047101,39,249,0.7388657481576418,4.095802627363025,,,
Android,7155,0.6705800139762403,0.3294199860237596,26,366,0.76701607267645,3.942417889587701,,,
Chromium,236,0.7161016949152542,0.2838983050847458,10,44,0.046610169491525424,0.8813559322033898,,,
