experiment,attribute,category,count,positive_count,positive_rate,precision,recall,f1_score,mean_predicted_prob,std_predicted_prob,tp,fp,tn,fn
Multi-Project (2x OS),experience_level,Novice (≤10),349,119,0.34097421203438394,0.37037037037037035,0.7563025210084033,0.49723756906077343,0.39456007567722684,0.0931624551830279,90,153,77,29
Multi-Project (2x OS),experience_level,Intermediate (11-50),222,127,0.5720720720720721,0.5753424657534246,0.9921259842519685,0.7283236994219652,0.48463362119756304,0.09213009014285119,126,93,2,1
Multi-Project (2x OS),experience_level,Advanced (51-150),208,123,0.5913461538461539,0.5913461538461539,1.0,0.743202416918429,0.5342239218835647,0.10712357078053204,123,85,0,0
Multi-Project (2x OS),experience_level,Expert (>150),205,93,0.45365853658536587,0.45098039215686275,0.989247311827957,0.6195286195286196,0.5237565263015468,0.09637850899361823,92,112,0,1
