experiment,attribute,category,count,positive_count,positive_rate,precision,recall,f1_score,mean_predicted_prob,std_predicted_prob,tp,fp,tn,fn
Multi-Project (2x OS),activity_level,Inactive (≤5),353,52,0.14730878186968838,0.14855072463768115,0.7884615384615384,0.25,0.4257838685097168,0.10302083947084899,41,235,66,11
Multi-Project (2x OS),activity_level,Moderate (6-20),213,122,0.5727699530516432,0.5794871794871795,0.9262295081967213,0.7129337539432177,0.4628286316920894,0.10529849347768576,113,82,9,9
Multi-Project (2x OS),activity_level,Active (21-50),155,120,0.7741935483870968,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.5074917180884269,0.11554278406589284,112,32,3,8
Multi-Project (2x OS),activity_level,Very Active (>50),263,168,0.6387832699619772,0.637065637065637,0.9821428571428571,0.7728337236533958,0.5179976179572566,0.10655819263595122,165,94,1,3
