train_period,0-3m,3-6m,6-9m,9-12m
0-3m,0.7167277167277167,0.8228228228228228,0.9098143236074272,0.733695652173913
3-6m,,0.8198198198198199,0.8938992042440319,0.8016304347826088
6-9m,,,0.7851458885941645,0.8315217391304348
9-12m,,,,0.6929347826086957
