train_period,0-3m,3-6m,6-9m,9-12m
0-3m,0.6190476190476191,0.7777777777777778,0.9230769230769232,0.6875
3-6m,,0.5555555555555556,0.5384615384615384,0.4375
6-9m,,,0.6923076923076923,0.75
9-12m,,,,1.0
