train_period,0-3m,3-6m,6-9m,9-12m
0-3m,0.5652173913043478,0.6363636363636364,0.6666666666666666,0.6111111111111112
3-6m,,0.7692307692307693,0.7777777777777778,0.7777777777777778
6-9m,,,0.5,0.6666666666666666
9-12m,,,,0.5714285714285714
