auc_roc,auc_pr,optimal_threshold,threshold_source,precision,recall,f1_score,positive_count,negative_count,total_count,project,train_period,eval_period
0.2771883289124668,0.5580597069137929,0.0652780830860138,train_data,0.6904761904761905,1.0,0.8169014084507042,29,13,42,Qt,9-12m,9-12m
0.6209677419354839,0.8786262472909716,0.13481663167476654,train_data,0.7948717948717948,1.0,0.8857142857142857,31,8,39,Qt,6-9m,9-12m
0.5708812260536399,0.8550465832419007,0.10721667855978012,train_data,0.7631578947368421,1.0,0.8656716417910447,29,9,38,Qt,6-9m,6-9m
0.5747126436781609,0.8192758901958495,0.04745839163661003,train_data,0.7631578947368421,1.0,0.8656716417910447,29,9,38,Qt,0-3m,9-12m
0.45333333333333337,0.7100636669413599,0.03178931027650833,train_data,0.7352941176470589,1.0,0.847457627118644,25,9,34,Qt,0-3m,6-9m
0.6222222222222222,0.6544757807498476,0.022243041545152664,train_data,0.5833333333333334,1.0,0.7368421052631579,21,15,36,Qt,0-3m,3-6m
0.5534188034188035,0.6676970834079899,0.03425370156764984,train_data,0.5909090909090909,1.0,0.7428571428571429,26,18,44,Qt,0-3m,0-3m
0.4538461538461539,0.7129501230516744,0.02207828313112259,train_data,0.6976744186046512,1.0,0.821917808219178,30,13,43,Qt,3-6m,9-12m
0.3727272727272727,0.6697171725660945,0.008678602986037731,train_data,0.7317073170731707,1.0,0.8450704225352113,30,11,41,Qt,3-6m,6-9m
0.32102272727272724,0.4959219140948528,0.010861862450838089,train_data,0.5789473684210527,1.0,0.7333333333333333,22,16,38,Qt,3-6m,3-6m
