auc_roc,auc_pr,optimal_threshold,threshold_source,precision,recall,f1_score,positive_count,negative_count,total_count,project,train_period,eval_period
0.6609943276609943,0.8759583421136825,0.0075392271392047405,train_data,0.8043478260869565,1.0,0.891566265060241,111,27,138,OpenStack,9-12m,9-12m
0.6598880047155908,0.8786770683459983,0.03573424741625786,train_data,0.8013698630136986,1.0,0.8897338403041825,117,29,146,OpenStack,6-9m,9-12m
0.7284460505937016,0.9632338437487605,0.026815995573997498,train_data,0.9230769230769231,0.9664429530201343,0.9442622950819672,149,13,162,OpenStack,6-9m,6-9m
0.5342424242424242,0.8284749270641261,0.03605993464589119,train_data,0.7857142857142857,1.0,0.88,110,30,140,OpenStack,0-3m,9-12m
0.5735785953177257,0.9381632903655416,0.050763703882694244,train_data,0.9139072847682119,1.0,0.9550173010380623,138,13,151,OpenStack,0-3m,6-9m
0.5727493917274938,0.8617375215744794,0.08839618414640427,train_data,0.8303030303030303,1.0,0.9072847682119205,137,30,167,OpenStack,0-3m,3-6m
0.6685623293903549,0.912889017310494,0.007828834466636181,train_data,0.861878453038674,0.9936305732484076,0.9230769230769231,157,28,185,OpenStack,0-3m,0-3m
0.6195906432748538,0.8452636519650143,0.012634950689971447,train_data,0.7916666666666666,1.0,0.8837209302325582,114,30,144,OpenStack,3-6m,9-12m
0.5117294053464266,0.8997921299411765,0.0015268400311470032,train_data,0.9155844155844156,1.0,0.9559322033898305,141,13,154,OpenStack,3-6m,6-9m
0.6805694305694305,0.90779244536517,0.02263125590980053,train_data,0.8362573099415205,1.0,0.910828025477707,143,28,171,OpenStack,3-6m,3-6m
