,0-3m,3-6m,6-9m,9-12m
0-3m,0.8817204301075269,0.8662420382165605,0.94375,0.9069767441860465
3-6m,,0.875,0.9272727272727272,0.9318181818181818
6-9m,,,0.9515151515151515,0.8888888888888888
9-12m,,,,0.8854961832061069
