category,count,past_acceptance_mean,eval_acceptance_mean,eval_acceptance_median,actual_accepted_rate,past_review_count,eval_review_count,acceptance_change
Low (<30%),636,0.09086289963990989,0.08021631358190184,0.0,0.3270440251572327,188.93710691823898,16.47798742138365,-0.010646586058008042
Medium (30-50%),100,0.364163335930741,0.20222535426766103,0.18695652173913044,0.52,184.12,12.68,-0.16193798166308
High (50-70%),32,0.6333333333333333,0.4444444444444444,0.3333333333333333,0.25,4.0,0.625,-0.18888888888888888
Very High (>70%),16,0.7142857142857143,0.046875,0.0,0.25,7.0,6.25,-0.6674107142857143
