experiment,attribute,category,count,positive_count,positive_rate,precision,recall,f1_score,mean_predicted_prob,std_predicted_prob,tp,fp,tn,fn
Multi-Project (No OS),past_acceptance_category,Low (<30%),186,141,0.7580645161290323,0.7580645161290323,1.0,0.8623853211009175,0.549876973513634,0.10936147558405353,141,45,0,0
Multi-Project (No OS),past_acceptance_category,Medium (30-50%),169,146,0.863905325443787,0.8690476190476191,1.0,0.9299363057324841,0.6756514335525107,0.10986912032852961,146,22,1,0
Multi-Project (No OS),past_acceptance_category,High (50-70%),149,129,0.8657718120805369,0.8657718120805369,1.0,0.9280575539568345,0.7030032443120176,0.12306051679620604,129,20,0,0
Multi-Project (No OS),past_acceptance_category,Very High (>70%),165,141,0.8545454545454545,0.8545454545454545,1.0,0.9215686274509803,0.7704459873112766,0.10029018737639632,141,24,0,0
