experiment,attribute,category,count,positive_count,positive_rate,precision,recall,f1_score,mean_predicted_prob,std_predicted_prob,tp,fp,tn,fn
Multi-Project (No OS),experience_level,Novice (≤10),183,139,0.7595628415300546,0.7637362637362637,1.0,0.8660436137071651,0.5420600470623683,0.11259246857914855,139,43,1,0
Multi-Project (No OS),experience_level,Intermediate (11-50),233,198,0.8497854077253219,0.8497854077253219,1.0,0.9187935034802784,0.6409663621959768,0.0952581679277632,198,35,0,0
Multi-Project (No OS),experience_level,Advanced (51-150),170,146,0.8588235294117647,0.8588235294117647,1.0,0.9240506329113923,0.7657427479239071,0.07603085626243246,146,24,0,0
Multi-Project (No OS),experience_level,Expert (>150),83,74,0.891566265060241,0.891566265060241,1.0,0.9426751592356688,0.8387332831520632,0.04482515735106377,74,9,0,0
