,0-3m,3-6m,6-9m,9-12m
0-3m,0.5238095238095238,0.5945945945945946,0.7142857142857143,0.5806451612903226
3-6m,,0.5483870967741935,0.5416666666666666,0.5714285714285714
6-9m,,,0.7222222222222222,0.6666666666666666
9-12m,,,,0.5142857142857142
