,0-3m,3-6m,6-9m,9-12m
0-3m,0.39348025711662077,0.6409544950055494,0.38507625272331153,0.6079182630906769
3-6m,,0.6938997821350763,0.6066137566137567,0.6987718164188752
6-9m,,,0.6713021491782554,0.6699346405228759
9-12m,,,,0.6706349206349207
