model,f1,auc_roc,auc_pr,precision,recall,accuracy,tp,tn,fp,fn,train_time,predict_time
IRL,0.8782051282051282,0.7494949494949495,0.9518254540998055,0.9319727891156463,0.8303030303030303,0.7923497267759563,137,8,10,28,0.0,0.0
Random Forest,0.9969604863221885,0.9993265993265993,0.9999271992706811,1.0,0.9939393939393939,0.994535519125683,164,18,0,1,0.08723592758178711,0.013540983200073242
Random Forest (Deep),0.9969604863221885,0.9993265993265993,0.9999271992706811,1.0,0.9939393939393939,0.994535519125683,164,18,0,1,0.08232927322387695,0.013528108596801758
Random Forest (More Trees),0.9969604863221885,0.9986531986531987,0.9998561267792041,1.0,0.9939393939393939,0.994535519125683,164,18,0,1,0.1958928108215332,0.024624109268188477
Logistic Regression,0.8493150684931506,0.8501683501683502,0.9809368465684571,0.9763779527559056,0.7515151515151515,0.7595628415300546,124,15,3,41,0.027673959732055664,0.00010919570922851562
