experiment,attribute,category,count,positive_count,positive_rate,precision,recall,f1_score,mean_predicted_prob,std_predicted_prob,tp,fp,tn,fn
Single Project (Nova),activity_level,Inactive (≤5),472,60,0.1271186440677966,0.16101694915254236,0.31666666666666665,0.21348314606741572,0.46381918391433813,0.013236233350911194,19,99,313,41
Single Project (Nova),activity_level,Moderate (6-20),132,60,0.45454545454545453,0.5285714285714286,0.6166666666666667,0.5692307692307693,0.47108480085929233,0.009501499901829321,37,33,39,23
Single Project (Nova),activity_level,Active (21-50),108,88,0.8148148148148148,0.8297872340425532,0.8863636363636364,0.8571428571428571,0.47532909749834623,0.007472862596151929,78,16,4,10
Single Project (Nova),activity_level,Very Active (>50),72,64,0.8888888888888888,0.9333333333333333,0.875,0.9032258064516129,0.47583360307746464,0.007838612027054315,56,4,4,8
