experiment,attribute,category,count,positive_count,positive_rate,precision,recall,f1_score,mean_predicted_prob,std_predicted_prob,tp,fp,tn,fn
Single Project (Nova),experience_level,Novice (≤10),288,36,0.125,0.2631578947368421,0.2777777777777778,0.27027027027027023,0.45992437356876004,0.01400872183853432,10,28,224,26
Single Project (Nova),experience_level,Intermediate (11-50),176,48,0.2727272727272727,0.32558139534883723,0.5833333333333334,0.41791044776119407,0.4708732474933971,0.010456197140732947,28,58,70,20
Single Project (Nova),experience_level,Advanced (51-150),128,56,0.4375,0.5769230769230769,0.5357142857142857,0.5555555555555555,0.46948057040572166,0.006949601320094699,30,22,50,26
Single Project (Nova),experience_level,Expert (>150),192,132,0.6875,0.7349397590361446,0.9242424242424242,0.8187919463087249,0.47539576205114525,0.007849743299556651,122,44,16,10
