prediction,history_mean,history_median,history_std,eval_mean,eval_median,eval_std,total_reviews_mean,total_reviews_median
Correct,54.13793103448276,24.0,68.45158677343254,42.213793103448275,20.0,62.39326288048705,35.86206896551724,11.0
Incorrect,15.368421052631579,5.0,45.79709718915664,12.605263157894736,4.0,24.299415490338845,8.842105263157896,0.0
