experiment,attribute,category,count,positive_count,positive_rate,precision,recall,f1_score,mean_predicted_prob,std_predicted_prob,tp,fp,tn,fn
Multi-Project (3x OS),past_acceptance_category,Low (<30%),843,363,0.4306049822064057,0.4576271186440678,0.8925619834710744,0.6050420168067226,0.4322298297996623,0.1158657554947252,324,384,96,39
Multi-Project (3x OS),past_acceptance_category,Medium (30-50%),104,81,0.7788461538461539,0.8061224489795918,0.9753086419753086,0.88268156424581,0.5548268804469934,0.1197112268494405,79,19,4,2
Multi-Project (3x OS),past_acceptance_category,High (50-70%),12,6,0.5,0.5,1.0,0.6666666666666666,0.5043177058299383,0.0661002914494822,6,6,0,0
Multi-Project (3x OS),past_acceptance_category,Very High (>70%),25,12,0.48,0.45,0.75,0.5625000000000001,0.43923282384872436,0.09996929630229762,9,11,2,3
