experiment,attribute,category,count,positive_count,positive_rate,precision,recall,f1_score,mean_predicted_prob,std_predicted_prob,tp,fp,tn,fn
Multi-Project (3x OS),experience_level,Novice (≤10),349,119,0.34097421203438394,0.37264150943396224,0.6638655462184874,0.47734138972809664,0.3627620148966169,0.0942920095224477,79,133,97,40
Multi-Project (3x OS),experience_level,Intermediate (11-50),222,127,0.5720720720720721,0.5787037037037037,0.984251968503937,0.7288629737609329,0.4579854845195203,0.0947675987762507,125,91,4,2
Multi-Project (3x OS),experience_level,Advanced (51-150),208,123,0.5913461538461539,0.5893719806763285,0.991869918699187,0.7393939393939394,0.5136833752577121,0.11775784610444992,122,85,0,1
Multi-Project (3x OS),experience_level,Expert (>150),205,93,0.45365853658536587,0.45320197044334976,0.989247311827957,0.6216216216216216,0.5072268894532832,0.10799769188379556,92,111,1,1
