f1,auc_roc,auc_pr,precision,recall,accuracy,tp,tn,fp,fn,train_time,predict_time,train_samples,eval_samples,pattern,train_window,eval_window,n_samples
0.7584650112866818,0.7859195402298851,0.8621456240046967,0.8615384615384616,0.6774193548387096,0.7464454976303317,168,147,27,80,0.09461784362792969,0.02621006965637207,317,422,0-3m → 3-6m,0-3m,3-6m,422
0.7472118959107806,0.7780819223393269,0.768621744740144,0.6907216494845361,0.8137651821862348,0.7246963562753036,201,157,90,46,0.08124804496765137,0.027371883392333984,317,494,0-3m → 6-9m,0-3m,6-9m,494
0.7790697674418605,0.7799810426540283,0.810260075513116,0.7556390977443609,0.804,0.7527114967462039,201,146,65,49,0.08017492294311523,0.02718806266784668,317,461,0-3m → 9-12m,0-3m,9-12m,461
0.7680890538033395,0.8396302184923535,0.8555659132236937,0.708904109589041,0.8380566801619433,0.7469635627530364,207,162,85,40,0.08910417556762695,0.027501821517944336,422,494,3-6m → 6-9m,3-6m,6-9m,494
0.7862903225806451,0.8159526066350711,0.8548442646717099,0.7926829268292683,0.78,0.7700650759219089,195,160,51,55,0.09157896041870117,0.026755094528198242,422,461,3-6m → 9-12m,3-6m,9-12m,461
0.7065868263473054,0.8050092065617677,0.8959755497403488,0.921875,0.5728155339805825,0.6956521739130435,118,106,10,88,0.09273314476013184,0.025520801544189453,494,322,6-9m → 9-12m,6-9m,9-12m,322
