auc_roc,auc_pr,optimal_threshold,threshold_source,precision,recall,f1_score,positive_count,negative_count,total_count,project,train_period,eval_period
0.2771883289124668,0.5580597069137929,0.0652780830860138,train_data,0.6904761904761905,1.0,0.8169014084507042,29,13,42,Qt,9-12m,9-12m
0.6209677419354839,0.8786262472909716,0.13481663167476654,train_data,0.7948717948717948,1.0,0.8857142857142857,31,8,39,Qt,6-9m,9-12m
0.5708812260536399,0.8550465832419007,0.10721667855978012,train_data,0.7631578947368421,1.0,0.8656716417910447,29,9,38,Qt,6-9m,6-9m
0.5747126436781609,0.8192758901958495,0.04745839163661003,train_data,0.7631578947368421,1.0,0.8656716417910447,29,9,38,Qt,0-3m,9-12m
0.45333333333333337,0.7100636669413599,0.03178931027650833,train_data,0.7352941176470589,1.0,0.847457627118644,25,9,34,Qt,0-3m,6-9m
0.6222222222222222,0.6544757807498476,0.022243041545152664,train_data,0.5833333333333334,1.0,0.7368421052631579,21,15,36,Qt,0-3m,3-6m
0.5534188034188035,0.6676970834079899,0.03425370156764984,train_data,0.5909090909090909,1.0,0.7428571428571429,26,18,44,Qt,0-3m,0-3m
0.4538461538461539,0.7129501230516744,0.02207828313112259,train_data,0.6976744186046512,1.0,0.821917808219178,30,13,43,Qt,3-6m,9-12m
0.3727272727272727,0.6697171725660945,0.008678602986037731,train_data,0.7317073170731707,1.0,0.8450704225352113,30,11,41,Qt,3-6m,6-9m
0.32102272727272724,0.4959219140948528,0.010861862450838089,train_data,0.5789473684210527,1.0,0.7333333333333333,22,16,38,Qt,3-6m,3-6m
0.6706349206349207,0.9289040583168368,0.13964293897151947,train_data,0.84,1.0,0.9130434782608695,126,24,150,Android,9-12m,9-12m
0.6699346405228759,0.9528647186782793,0.199114128947258,train_data,0.8947368421052632,1.0,0.9444444444444444,102,12,114,Android,6-9m,9-12m
0.6713021491782554,0.9470866054587406,0.23583368957042694,train_data,0.889763779527559,1.0,0.9416666666666667,113,14,127,Android,6-9m,6-9m
0.6079182630906769,0.9055684980764154,0.13317245244979858,train_data,0.8285714285714286,1.0,0.90625,87,18,105,Android,0-3m,9-12m
0.38507625272331153,0.8292977058214971,0.06459616869688034,train_data,0.85,1.0,0.918918918918919,102,18,120,Android,0-3m,6-9m
0.6409544950055494,0.927933376212858,0.1327410191297531,train_data,0.8617886178861789,1.0,0.925764192139738,106,17,123,Android,0-3m,3-6m
0.39348025711662077,0.8602063259819487,0.10569554567337036,train_data,0.8705035971223022,1.0,0.9307692307692308,121,18,139,Android,0-3m,0-3m
0.6987718164188752,0.922855815151215,0.1445634365081787,train_data,0.8425925925925926,1.0,0.914572864321608,91,17,108,Android,3-6m,9-12m
0.6066137566137567,0.8938942506883332,0.14377592504024506,train_data,0.8536585365853658,1.0,0.9210526315789473,105,18,123,Android,3-6m,6-9m
0.6938997821350763,0.9383742904701764,0.14657199382781982,train_data,0.864,1.0,0.927038626609442,108,17,125,Android,3-6m,3-6m
0.2944444444444444,0.9437692532087455,0.15477092564105988,train_data,0.9523809523809523,1.0,0.975609756097561,60,3,63,Chromium,9-12m,9-12m
0.4716981132075472,0.9567713818272173,0.04383980855345726,train_data,0.9464285714285714,1.0,0.9724770642201835,53,3,56,Chromium,6-9m,9-12m
0.5652173913043479,0.9377837595247359,0.015938062220811844,train_data,0.9019607843137255,1.0,0.9484536082474226,46,5,51,Chromium,6-9m,6-9m
0.6147540983606558,0.9696078299275168,0.15146684646606445,train_data,0.9384615384615385,1.0,0.9682539682539683,61,4,65,Chromium,0-3m,9-12m
0.45779220779220786,0.8371777213180855,0.1416371464729309,train_data,0.8627450980392157,1.0,0.9263157894736842,44,7,51,Chromium,0-3m,6-9m
,1.0,0.12896935641765594,train_data,1.0,1.0,1.0,42,0,42,Chromium,0-3m,3-6m
0.2791666666666667,0.857881193741352,0.07209872454404831,train_data,0.9056603773584906,1.0,0.9504950495049505,48,5,53,Chromium,0-3m,0-3m
0.21428571428571427,0.950225542126721,0.12352154403924942,train_data,0.9692307692307692,1.0,0.984375,63,2,65,Chromium,3-6m,9-12m
0.3181818181818182,0.7235618526610694,0.06379006057977676,train_data,0.8301886792452831,1.0,0.9072164948453608,44,9,53,Chromium,3-6m,6-9m
,1.0,0.1576022505760193,train_data,1.0,1.0,1.0,42,0,42,Chromium,3-6m,3-6m
0.6609943276609943,0.8759583421136825,0.0075392271392047405,train_data,0.8043478260869565,1.0,0.891566265060241,111,27,138,OpenStack,9-12m,9-12m
0.6598880047155908,0.8786770683459983,0.03573424741625786,train_data,0.8013698630136986,1.0,0.8897338403041825,117,29,146,OpenStack,6-9m,9-12m
0.7284460505937016,0.9632338437487605,0.026815995573997498,train_data,0.9230769230769231,0.9664429530201343,0.9442622950819672,149,13,162,OpenStack,6-9m,6-9m
0.5342424242424242,0.8284749270641261,0.03605993464589119,train_data,0.7857142857142857,1.0,0.88,110,30,140,OpenStack,0-3m,9-12m
0.5735785953177257,0.9381632903655416,0.050763703882694244,train_data,0.9139072847682119,1.0,0.9550173010380623,138,13,151,OpenStack,0-3m,6-9m
0.5727493917274938,0.8617375215744794,0.08839618414640427,train_data,0.8303030303030303,1.0,0.9072847682119205,137,30,167,OpenStack,0-3m,3-6m
0.6685623293903549,0.912889017310494,0.007828834466636181,train_data,0.861878453038674,0.9936305732484076,0.9230769230769231,157,28,185,OpenStack,0-3m,0-3m
0.6195906432748538,0.8452636519650143,0.012634950689971447,train_data,0.7916666666666666,1.0,0.8837209302325582,114,30,144,OpenStack,3-6m,9-12m
