segment,experience_days,total_changes,total_reviews,recent_activity_frequency,avg_activity_gap,collaboration_score,code_quality_score,recent_acceptance_rate,review_load,project_count,project_activity_distribution,main_project_contribution_ratio,cross_project_collaboration_score
Unpredictable,54.372549019607845,0.0,9.941176470588236,0.23464052287581696,16.62936748682314,0.0,0.3,0.39054801407742584,0.6333892864186477,2.0588235294117645,0.24906969759913086,0.8792843322255086,0.5305304172951232
Low,,,,,,,,,,,,,
Medium,,,,,,,,,,,,,
High,75.08620689655173,0.0,42.55747126436781,0.8668582375478928,6.938019321458439,0.0,0.3,0.5589814125797853,0.557512346452079,3.7413793103448274,0.5471036652250869,0.7683770663540058,0.7964902678151318
Perfect,,,,,,,,,,,,,
