Platform,Pattern,Threshold,precision,recall,f1,auc_roc,auc_pr,positive_count,negative_count,total_count
OpenStack-50proj,0-3m→0-3m,0.5,0.8688524590163934,0.8548387096774194,0.8617886178861789,0.698993658671078,0.9138384359680748,186,39,225
OpenStack-50proj,0-3m→3-6m,0.5,0.8294117647058824,0.8980891719745223,0.8623853211009175,0.6765839758632249,0.9031554630247183,157,38,195
OpenStack-50proj,0-3m→6-9m,0.5,0.9102564102564102,0.8875,0.8987341772151899,0.6599264705882353,0.9418109018680536,160,17,177
OpenStack-50proj,0-3m→9-12m,0.5,0.7971014492753623,0.8527131782945736,0.8239700374531835,0.5564168819982773,0.8012149423727766,129,36,165
OpenStack-50proj,3-6m→3-6m,0.5,0.875,0.6125,0.7205882352941176,0.7066722972972972,0.9142908349363276,160,37,197
OpenStack-50proj,3-6m→6-9m,0.5,0.9534883720930233,0.49696969696969695,0.6533864541832669,0.6947368421052632,0.9396474248607118,165,19,184
OpenStack-50proj,3-6m→9-12m,0.5,0.8367346938775511,0.6212121212121212,0.7130434782608696,0.601010101010101,0.8380342056288892,132,36,168
OpenStack-50proj,6-9m→6-9m,0.5,0.9290780141843972,0.793939393939394,0.8562091503267973,0.703030303030303,0.9423035803126742,165,18,183
OpenStack-50proj,6-9m→9-12m,0.5,0.8217054263565892,0.8412698412698413,0.8313725490196079,0.6610644257703081,0.8511663727954013,126,34,160
OpenStack-50proj,9-12m→9-12m,0.5,0.8470588235294118,0.549618320610687,0.6666666666666666,0.6540500424088211,0.8611856737211991,131,36,167
Android,0-3m→0-3m,0.5,1.0,0.04132231404958678,0.07936507936507936,0.39348025711662077,0.8613749662810412,121,18,139
Android,0-3m→3-6m,0.5,1.0,0.2358490566037736,0.3816793893129771,0.6409544950055494,0.9282742123662528,106,17,123
Android,0-3m→6-9m,0.5,1.0,0.058823529411764705,0.1111111111111111,0.38507625272331153,0.8310348958300047,102,18,120
Android,0-3m→9-12m,0.5,0.96875,0.3563218390804598,0.5210084033613446,0.6079182630906769,0.9061536265828871,87,18,105
Android,3-6m→3-6m,0.5,0.9473684210526315,0.5,0.6545454545454545,0.6938997821350763,0.9388173395879461,108,17,125
Android,3-6m→6-9m,0.5,0.8974358974358975,0.3333333333333333,0.4861111111111111,0.6066137566137567,0.8950511589977646,105,18,123
Android,3-6m→9-12m,0.5,0.9210526315789473,0.38461538461538464,0.5426356589147286,0.6987718164188752,0.9235388488720735,91,17,108
Android,6-9m→6-9m,0.5,0.9761904761904762,0.36283185840707965,0.5290322580645161,0.6713021491782554,0.9474563108168574,113,14,127
Android,6-9m→9-12m,0.5,1.0,0.3431372549019608,0.5109489051094891,0.6699346405228759,0.953173096209861,102,12,114
Android,9-12m→9-12m,0.5,0.9807692307692307,0.40476190476190477,0.5730337078651685,0.6706349206349207,0.9291961327905234,126,24,150
Chromium,0-3m→0-3m,0.5,0.0,0.0,0.0,0.2791666666666667,0.8631263863296009,48,5,53
Chromium,0-3m→3-6m,0.5,1.0,0.11904761904761904,0.2127659574468085,0.0,0.0,42,0,42
Chromium,0-3m→6-9m,0.5,0.9090909090909091,0.22727272727272727,0.36363636363636365,0.45779220779220786,0.8493944947451293,44,7,51
Chromium,0-3m→9-12m,0.5,1.0,0.2459016393442623,0.39473684210526316,0.6147540983606558,0.9699381597234038,61,4,65
Chromium,3-6m→3-6m,0.5,1.0,0.023809523809523808,0.046511627906976744,0.0,0.0,42,0,42
Chromium,3-6m→6-9m,0.5,0.5,0.022727272727272728,0.043478260869565216,0.3181818181818182,0.7386137988071054,44,9,53
Chromium,3-6m→9-12m,0.5,1.0,0.06349206349206349,0.11940298507462686,0.21428571428571427,0.9517421472147547,63,2,65
Chromium,6-9m→6-9m,0.5,1.0,0.10869565217391304,0.19607843137254902,0.5652173913043479,0.938820899768168,46,5,51
Chromium,6-9m→9-12m,0.5,1.0,0.05660377358490566,0.10714285714285714,0.4716981132075472,0.9574659234045467,53,3,56
Chromium,9-12m→9-12m,0.5,1.0,0.016666666666666666,0.03278688524590164,0.2944444444444444,0.944606234674008,60,3,63
Qt,0-3m→0-3m,0.5,0.0,0.0,0.0,0.5534188034188035,0.6781245958114643,26,18,44
Qt,0-3m→3-6m,0.5,0.0,0.0,0.0,0.6222222222222222,0.671320809591522,21,15,36
Qt,0-3m→6-9m,0.5,0.0,0.0,0.0,0.45333333333333337,0.7241870109309478,25,9,34
Qt,0-3m→9-12m,0.5,0.0,0.0,0.0,0.5747126436781609,0.8244118605570419,29,9,38
Qt,3-6m→3-6m,0.5,0.0,0.0,0.0,0.32102272727272724,0.5125076277035966,22,16,38
Qt,3-6m→6-9m,0.5,0.0,0.0,0.0,0.3727272727272727,0.682726191073266,30,11,41
Qt,3-6m→9-12m,0.5,0.0,0.0,0.0,0.4538461538461539,0.7201860685096309,30,13,43
Qt,6-9m→6-9m,0.5,0.0,0.0,0.0,0.5708812260536399,0.8585547364396151,29,9,38
Qt,6-9m→9-12m,0.5,1.0,0.03225806451612903,0.0625,0.6209677419354839,0.8814405348675682,31,8,39
Qt,9-12m→9-12m,0.5,0.0,0.0,0.0,0.2771883289124668,0.5759926824912918,29,13,42
