,0-3m,3-6m,6-9m,9-12m
0-3m,0.9354838709677419,0.9554140127388535,1.0,1.0
3-6m,,0.99375,1.0,1.0
6-9m,,,1.0,0.9920634920634921
9-12m,,,,1.0
