,F1 (Diagonal Mean),F1 (Overall Mean),F1 (Diagonal Std),F1 (Overall Std)
OpenStack,0.9078640966217314,0.9057285377956873,0.025216143269510004,0.028840327179127427
Qt,0.7896908816080563,0.8161437417073747,0.05450472690961264,0.054876726762715086
Android,0.946969696969697,0.9433611181945685,0.06818181818181818,0.054442136846786345
Chromium,0.9333333333333332,0.8555555555555555,0.09428090415820632,0.15112745009706047
