,0-3m,3-6m,6-9m,9-12m
0-3m,0.6842105263157895,0.6842105263157895,0.6,0.5789473684210527
3-6m,,0.7,0.631578947368421,0.5789473684210527
6-9m,,,0.6,0.55
9-12m,,,,0.6
