,0-3m,3-6m,6-9m,9-12m
0-3m,0.8705035971223022,0.8617886178861789,0.85,0.8285714285714286
3-6m,,0.864,0.8536585365853658,0.8425925925925926
6-9m,,,0.889763779527559,0.8947368421052632
9-12m,,,,0.84
